과목명,교수,전공,강의실,요일,강의시간
글자로표현하기,이경진, 커뮤니케이션디자인,예801,수,03-08
디자인이야기,조혜영, 커뮤니케이션디자인,예821,금,03-08
디자인이야기,조혜영, 커뮤니케이션디자인,예821,금,11-16
움직이기,최병일, 커뮤니케이션디자인,예801,월,03-08
움직이기,최병일, 커뮤니케이션디자인,예801,목,03-08
움직이기,최병일, 커뮤니케이션디자인,예801,목,11-16
구조화하기,이재곤, 커뮤니케이션디자인,예816,수,03-08
구조화하기,이재곤, 커뮤니케이션디자인,예816,수,11-16
형식과미,서영주, 영상영화학과,예412,목,13-16
기초메탈기법,"이주현, 박성현", 리빙디자인,공예204,금,01-03
기초메탈기법,"이주현, 박성현", 리빙디자인,공예202-1,금,04-06
기초메탈기법,"이주현, 박성현", 리빙디자인,공예204,금,07-10
기초메탈기법,"이주현, 박성현", 리빙디자인,공예202-1,금,11-12
기초메탈기법,"이주현, 박성현", 리빙디자인,공예204,금,13-15
기초메탈기법,"이주현, 박성현", 리빙디자인,공예202-1,금,16-18
기초세라믹기법,홍지은, 리빙디자인,공예101,화,01-06
기초세라믹기법,홍지은, 리빙디자인,공예101,화,07-12
기초세라믹기법,이하린, 리빙디자인,공예101,화,13-18
기초텍스타일기법,장용석, 리빙디자인,예521,월,03-08
기초텍스타일기법,장용석, 리빙디자인,예521,월,11-16
기초텍스타일기법,한인석, 리빙디자인,예521,목,03-08
교육방법및교육공학,유병민," 일어교육과, 수학교육과, 체육교육과, 음악교육과, 교육공학과, 영어교육과",사112,수,09-12
교육사회,서승연," 일어교육과, 수학교육과, 체육교육과, 음악교육과, 교육공학과, 영어교육과",사216,금,09-12
교육실습,양성관," 일어교육과, 수학교육과, 체육교육과, 음악교육과, 교육공학과, 영어교육과",사107,수,17-19
교육심리,박종효," 일어교육과, 수학교육과, 체육교육과, 음악교육과, 교육공학과, 영어교육과",사105,월,05-08
교육심리,진석언," 일어교육과, 수학교육과, 체육교육과, 음악교육과, 교육공학과, 영어교육과",사112,월,09-12
교육심리,김경미," 일어교육과, 수학교육과, 체육교육과, 음악교육과, 교육공학과, 영어교육과",사301-1,금,13-16
교육철학및교육사,정경화," 일어교육과, 수학교육과, 체육교육과, 음악교육과, 교육공학과, 영어교육과",상허관108,월,05-08
교육평가,김명연," 일어교육과, 수학교육과, 체육교육과, 음악교육과, 교육공학과, 영어교육과",사105,월,13-16
