과목명,교수,전공,강의실,요일,강의시간
랜덤프로세스개론,임창훈," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",공C487,수,13-15
컴퓨테이션이론,남원홍," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",공B170,월,04-06
컴퓨테이션이론,남원홍," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",공B170,수,04-06
컴퓨테이션이론,남원홍," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",공B360,월,07-09
컴퓨테이션이론,남원홍," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",공B170,수,07-09
웹기술및응용,하영국," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",신공1213,월,09-12
웹기술및응용,하영국," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",신공1213,화,09-12
차세대분산시스템,민덕기," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",신공1214,화,01-04
차세대분산시스템,민덕기," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",신공1214,목,01-04
졸업프로젝트1(종합설계),정갑주," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",신공1013,월,15-18
졸업프로젝트1(종합설계),정갑주," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",신공1013,수,15-18
졸업프로젝트1(종합설계),김욱희," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",신공104,월,11-14
졸업프로젝트1(종합설계),김욱희," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",신공104,수,11-14
졸업프로젝트2(종합설계),김형석," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",공A602,목,15-18
졸업프로젝트2(종합설계),김형석," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",공B475,금,15-18
졸업프로젝트2(종합설계),차영운," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",공A602,월,15-18
졸업프로젝트2(종합설계),차영운," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",공A602,수,15-18
졸업프로젝트2(종합설계),진현욱," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",새501,화,15-18
졸업프로젝트2(종합설계),진현욱," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",새501,목,15-18
산학협력프로젝트2(종합설계),"장현국, 김형석"," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",공B475,월,11-14
산학협력프로젝트2(종합설계),"장현국, 김형석"," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",공B475,수,11-14
산학협력프로젝트2(종합설계),김학수," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",새502,화,15-18
산학협력프로젝트2(종합설계),김학수," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",새502,목,15-18
클라우드웹서비스,정갑주," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",신공1014,화,15-18
클라우드웹서비스,정갑주," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",신공1014,목,15-18
데이터통신,김기천," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",공B475,월,01-03
데이터통신,김기천," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",공B475,수,01-03
데이터통신,김기천," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",공B475,월,04-06
데이터통신,김기천," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",공B475,수,04-06
네트워크프로그래밍,이향원," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",새402,화,13-16
네트워크프로그래밍,이향원," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",새402,목,13-16
네트워크프로그래밍,심철준," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",새401,월,01-04
네트워크프로그래밍,심철준," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",새401,화,01-04
데이터사이언스,신효섭," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",공A1510,목,05-07
데이터사이언스,신효섭," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",공A1510,금,11-13
데이터사이언스,신효섭," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",공A1510,목,14-16
데이터사이언스,신효섭," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",공A1510,금,05-07
오픈소스SW프로젝트2(종합설계),민덕기," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",신공1214,화,08-11
오픈소스SW프로젝트2(종합설계),민덕기," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",신공1214,목,08-11
K-Lab프로젝트2(종합설계),"이희연, 김형석"," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",새401,월,16-18
K-Lab프로젝트2(종합설계),"이희연, 김형석"," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",새401,수,16-19
테크니컬영어말하기,션패트릭스토리," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",공C481,금,13-14
컴퓨터공학세미나,장현국," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",공B361,화,17-19
UX디자인,김지인," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",공C487,월,04-06
UX디자인,김지인," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",공C487,수,04-06
컴퓨터정보보안,박소영," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",새401,월,12-14
컴퓨터정보보안,박소영," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",새401,수,12-14
전공기초프로젝트2(종합설계),차리서," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",새403,화,05-08
전공기초프로젝트2(종합설계),차리서," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",새403,목,05-08
전공기초프로젝트2(종합설계),차리서," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",새403,화,09-12
전공기초프로젝트2(종합설계),차리서," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",새403,목,09-12
고급컴퓨터그래픽스,"김형석, 전석희"," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",새403,화,01-04
고급컴퓨터그래픽스,"김형석, 전석희"," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",새403,목,01-04
인공지능,김은이," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",공B170,화,01-03
인공지능,김은이," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",공B170,목,01-03
인공지능,김은이," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",공B170,화,07-09
인공지능,김은이," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",공B170,목,07-09
기계학습,김학수," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",공A1510,화,01-03
기계학습,김학수," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",공A1510,목,01-03
기계학습,김학수," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",공A1510,화,10-12
기계학습,김학수," 소프트웨어학과, 컴퓨터공학과, 컴퓨터공학부",공A1510,목,10-12
환경화학및실험,김조천," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",신공808,목,09-16
강구조공학,추프랑솨," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B564,월,01-03
강구조공학,추프랑솨," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B564,수,04-06
교량설계,하동호," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B165,월,10-13
교량설계,하동호," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B559-1,수,10-13
기초측량학및실습,어양담," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B560,월,10-13
기초측량학및실습,어양담," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",새504,수,10-13
기초측량학및실습,어양담," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B165,화,10-13
기초측량학및실습,어양담," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B560,목,10-13
암반공학,정재호," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B567,목,07-12
대기모델링실습,선우영," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",새403,화,14-17
대기모델링실습,선우영," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",새403,목,14-17
정수공학및설계,권지향," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B155,월,13-15
정수공학및설계,권지향," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B155,수,13-15
환경영향평가,장명도," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B455,목,07-12
수리학및실험,성기원," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B556,화,04-07
수리학및실험,성기원," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B556,목,04-07
수리학및실험,박대룡," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B559-1,화,04-07
수리학및실험,박대룡," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B165,목,04-07
토질역학및실험,이석원," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B556,월,14-17
토질역학및실험,이석원," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B556,수,14-17
토질역학및실험,김대규," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B556,화,10-17
재료역학,이용학," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B566,월,04-06
재료역학,이용학," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B566,수,01-03
재료역학,이태형," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B564,월,04-06
재료역학,이태형," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B564,수,01-03
환경수리공학,성기원," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B556,월,07-09
환경수리공학,성기원," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B556,수,07-09
토양복원공학및설계,김한승," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B556,월,04-06
토양복원공학및설계,김한승," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공A304-1,수,01-03
지하수오염및정화,김한승," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B556,월,01-03
지하수오염및정화,김한승," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공A309,수,04-06
터널및지하공간공학,신종호," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B156,월,04-06
터널및지하공간공학,신종호," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B156,수,01-03
기후변화물순환설계,박대룡," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B560,월,14-16
기후변화물순환설계,박대룡," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B560,수,14-16
토류구조물설계,이석원," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B564,화,14-16
토류구조물설계,이석원," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B564,목,14-16
환경기기분석,배성준," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B559-1,월,10-13
환경기기분석,배성준," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",신공808,화,10-13
사회환경공학종합설계,박기영," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공D235,금,01-08
사회환경공학종합설계,이태형," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B567,금,01-08
GIS및설계,연상호," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B564,월,10-12
GIS및설계,연상호," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B564,수,10-12
GIS및설계,연상호," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B558,월,13-15
GIS및설계,연상호," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B558,수,13-15
하천및경관공학,성기원," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B560,월,04-06
하천및경관공학,성기원," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B560,수,01-03
폐기물공학,박기영," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",신공B106,화,01-03
폐기물공학,박기영," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",신공B106,목,04-06
온실가스및미세먼지통합관리,우정헌," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B564,화,04-06
온실가스및미세먼지통합관리,우정헌," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B564,목,01-03
콘크리트구조설계,박영성," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B560,금,11-16
교통공학개론,구태서," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B564,화,10-12
교통공학개론,구태서," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B564,목,10-12
지반보강설계,구태서," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B564,화,01-03
지반보강설계,구태서," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공B564,목,04-06
환경생물공학및설계,박기영," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공A204,화,04-06
환경생물공학및설계,박기영," 환경공학과, 인프라시스템, 사회환경플랜트, 사회환경공학부, 기술융합공학과",공D235,목,01-03
공업미생물학2,김형주, 생물공,공B551,월,09-11
공업미생물학2,김형주, 생물공,공B551,화,09-11
면역학,이상후, 생물공,공B551,금,13-18
살균공학및설계,조영재, 생물공,공B551,목,03-06
살균공학및설계,조영재, 생물공,온라인(녹화,금,09-10
병원미생물학,양영헌, 생물공,공B562,월,10-12
병원미생물학,양영헌, 생물공,공B562,화,04-06
화장품생물소재학,홍성은, 생물공,공A402,월,07-12
생리활성물질학,쿠마란, 생물공,공A402,월,04-06
생리활성물질학,쿠마란, 생물공,공A402,수,13-15
유전자제어공학,쿠마란, 생물공,공B566,수,09-11
유전자제어공학,쿠마란, 생물공,공B566,금,04-06
바이오플랜트GMP운영,김덕상, 생물공,공B552,수,01-08
공업생화학2및실험,이상현, 생물공,공A402,월,13-16
공업생화학2및실험,이상현, 생물공,신공613,화,13-16
분자진단공학,박기수, 생물공,공B551,수,01-06
양조및발효공학,박원근, 생물공,공B551,월,13-15
양조및발효공학,박원근, 생물공,공B551,화,13-15
CELLULAR REACTION ENGINEERING,박기수, 생물공,공B473,화,07-12
경제성공학,문혜진, 산업공학과,공B170,목,13-18
산업공학개론,"고성석, 박근상, 윤장혁, 김경미, 김형중, 김종화", 산업공학과,공B565,목,13-18
시뮬레이션,김종화, 산업공학과,신공408,월,13-15
시뮬레이션,김종화, 산업공학과,신공408,수,13-15
안전공학,박근상, 산업공학과,공B155,화,13-18
인간공학,박근상, 산업공학과,공A102,수,01-06
프로젝트관리,김형중, 산업공학과,공A403,월,04-06
프로젝트관리,김형중, 산업공학과,공A403,수,04-06
O.R.2,고성석, 산업공학과,공B555,월,04-06
O.R.2,고성석, 산업공학과,공B555,화,04-06
금융공학,고성석, 산업공학과,공A403,월,10-12
금융공학,고성석, 산업공학과,공A403,화,10-12
데이터베이스시스템,윤장혁, 산업공학과,공A402,화,10-12
데이터베이스시스템,윤장혁, 산업공학과,공A402,수,10-12
생산물류,김종화, 산업공학과,공B473,월,07-09
생산물류,김종화, 산업공학과,공B473,수,07-09
인간과학세미나,박근상, 산업공학과,공A102,수,10-15
공학실험설계및분석,김경미, 산업공학과,공B565,월,10-12
공학실험설계및분석,김경미, 산업공학과,공B565,수,10-12
비즈니스인텔리전스,김형중, 산업공학과,공B473,화,01-03
비즈니스인텔리전스,김형중, 산업공학과,공B473,목,01-03
마이크로프로세서응용,김종우," 전기공학과, 전자공, 전기전자공학부",공B165,화,07-09
마이크로프로세서응용,김종우," 전기공학과, 전자공, 전기전자공학부",공B165,목,10-12
디지털신호처리,이기승," 전기공학과, 전자공, 전기전자공학부",공C_B182,화,01-03
디지털신호처리,이기승," 전기공학과, 전자공, 전기전자공학부",공C_B182,목,04-06
반도체공학,김현우," 전기공학과, 전자공, 전기전자공학부",공B567,월,07-09
반도체공학,김현우," 전기공학과, 전자공, 전기전자공학부",공B567,수,10-12
반도체공학,김현우," 전기공학과, 전자공, 전기전자공학부",공B567,월,10-12
반도체공학,김현우," 전기공학과, 전자공, 전기전자공학부",공B567,수,07-09
신호및시스템,김선용," 전기공학과, 전자공, 전기전자공학부",공C481-1,화,01-03
신호및시스템,김선용," 전기공학과, 전자공, 전기전자공학부",공C481-1,목,04-06
신호및시스템,김선용," 전기공학과, 전자공, 전기전자공학부",공C481-1,화,04-06
신호및시스템,김선용," 전기공학과, 전자공, 전기전자공학부",공C481-1,목,01-03
신호및시스템,김선용," 전기공학과, 전자공, 전기전자공학부",공C481-1,화,07-09
신호및시스템,김선용," 전기공학과, 전자공, 전기전자공학부",공C481-1,목,10-12
신호및시스템,김준태," 전기공학과, 전자공, 전기전자공학부",공C482,월,04-06
신호및시스템,김준태," 전기공학과, 전자공, 전기전자공학부",공C482,수,01-03
임베디드시스템,"조용범, 장서진"," 전기공학과, 전자공, 전기전자공학부",공C482,화,10-12
임베디드시스템,"조용범, 장서진"," 전기공학과, 전자공, 전기전자공학부",공C482,목,07-09
전자회로1,김진태," 전기공학과, 전자공, 전기전자공학부",공C_B182,월,10-12
전자회로1,김진태," 전기공학과, 전자공, 전기전자공학부",공C_B182,수,07-09
전자회로1,채형일," 전기공학과, 전자공, 전기전자공학부",공C485,월,07-09
전자회로1,채형일," 전기공학과, 전자공, 전기전자공학부",공C485,수,10-12
전자회로1,최영호," 전기공학과, 전자공, 전기전자공학부",공B371,수,04-06
전자회로1,최영호," 전기공학과, 전자공, 전기전자공학부",공B371,금,07-09
전자회로1,최영호," 전기공학과, 전자공, 전기전자공학부",공B371,수,07-09
전자회로1,최영호," 전기공학과, 전자공, 전기전자공학부",공B371,금,04-06
랜덤프로세스,김선용," 전기공학과, 전자공, 전기전자공학부",공C481-1,월,07-09
랜덤프로세스,김선용," 전기공학과, 전자공, 전기전자공학부",공C481-1,수,10-12
안테나이론및설계,양종렬," 전기공학과, 전자공, 전기전자공학부",공B473,화,04-06
안테나이론및설계,양종렬," 전기공학과, 전자공, 전기전자공학부",새204,목,01-03
태양광공학,안형근," 전기공학과, 전자공, 전기전자공학부",공C486,월,13-15
태양광공학,안형근," 전기공학과, 전자공, 전기전자공학부",공C486,수,07-09
정보소자,박기찬," 전기공학과, 전자공, 전기전자공학부",공C485,월,04-06
정보소자,박기찬," 전기공학과, 전자공, 전기전자공학부",공C485,수,01-03
전력전자,조영훈," 전기공학과, 전자공, 전기전자공학부",공B566,화,01-03
전력전자,조영훈," 전기공학과, 전자공, 전기전자공학부",공B566,목,04-06
전력시스템최적화,이두희," 전기공학과, 전자공, 전기전자공학부",공C486,화,04-06
전력시스템최적화,이두희," 전기공학과, 전자공, 전기전자공학부",공C486,목,07-09
교류회로이론,구현철," 전기공학과, 전자공, 전기전자공학부",공C485,화,10-12
교류회로이론,구현철," 전기공학과, 전자공, 전기전자공학부",새204,목,07-09
교류회로이론,이두희," 전기공학과, 전자공, 전기전자공학부",공C486,화,07-09
교류회로이론,이두희," 전기공학과, 전자공, 전기전자공학부",공C486,목,10-12
교류회로이론,김종우," 전기공학과, 전자공, 전기전자공학부",공B366,화,10-12
교류회로이론,김종우," 전기공학과, 전자공, 전기전자공학부",공B366,목,07-09
전자기학1,허정," 전기공학과, 전자공, 전기전자공학부",공C482,화,01-03
전자기학1,허정," 전기공학과, 전자공, 전기전자공학부",공C482,목,04-06
전자기학1,허정," 전기공학과, 전자공, 전기전자공학부",공C482,화,04-06
전자기학1,허정," 전기공학과, 전자공, 전기전자공학부",공C482,목,01-03
전자기학1,구현철," 전기공학과, 전자공, 전기전자공학부",공C482,화,07-09
전자기학1,구현철," 전기공학과, 전자공, 전기전자공학부",새204,목,10-12
전자기학1,목형수," 전기공학과, 전자공, 전기전자공학부",공C485,월,10-12
전자기학1,목형수," 전기공학과, 전자공, 전기전자공학부",공C485,수,07-09
통신신호처리,김선용," 전기공학과, 전자공, 전기전자공학부",공C481-1,월,10-12
통신신호처리,김선용," 전기공학과, 전자공, 전기전자공학부",공C481-1,수,07-09
무선통신공학,김준태," 전기공학과, 전자공, 전기전자공학부",공C485,월,01-03
무선통신공학,김준태," 전기공학과, 전자공, 전기전자공학부",공C485,수,04-06
제어시스템,지규인," 전기공학과, 전자공, 전기전자공학부",공C481-1,월,04-06
제어시스템,지규인," 전기공학과, 전자공, 전기전자공학부",공C481-1,수,01-03
제어시스템,이도홍," 전기공학과, 전자공, 전기전자공학부",공B366,금,10-15
전력경제,박종배," 전기공학과, 전자공, 전기전자공학부",공B473,월,10-12
전력경제,박종배," 전기공학과, 전자공, 전기전자공학부",공B473,수,04-06
전력시스템공학,박종배," 전기공학과, 전자공, 전기전자공학부",공C486,화,10-12
전력시스템공학,박종배," 전기공학과, 전자공, 전기전자공학부",공C486,수,10-12
컴퓨터구조,박성정," 전기공학과, 전자공, 전기전자공학부",공C_B182,화,04-06
컴퓨터구조,박성정," 전기공학과, 전자공, 전기전자공학부",공C_B182,목,01-03
컴퓨터구조,유승수," 전기공학과, 전자공, 전기전자공학부",공B366,화,01-03
컴퓨터구조,유승수," 전기공학과, 전자공, 전기전자공학부",공B366,목,04-06
직류여자기기,목형수," 전기공학과, 전자공, 전기전자공학부",공C486,월,01-03
직류여자기기,목형수," 전기공학과, 전자공, 전기전자공학부",공C486,수,04-06
직류여자기기,목형수," 전기공학과, 전자공, 전기전자공학부",공C486,월,04-06
직류여자기기,목형수," 전기공학과, 전자공, 전기전자공학부",공C486,수,01-03
임베디드컴퓨팅,박성정," 전기공학과, 전자공, 전기전자공학부",공C481-1,화,10-12
임베디드컴퓨팅,박성정," 전기공학과, 전자공, 전기전자공학부",공C481-1,목,07-09
산학협력프로젝트,"양종렬, 조용범, 이기승"," 전기공학과, 전자공, 전기전자공학부",공A102,월,13-19
산학협력프로젝트,"박기찬, 김준태"," 전기공학과, 전자공, 전기전자공학부",공C192,수,13-19
산학협력프로젝트,"박성정, 구현철"," 전기공학과, 전자공, 전기전자공학부",공A102,목,13-19
산학협력프로젝트,"김현우, 김선용"," 전기공학과, 전자공, 전기전자공학부",신공1203,월,13-19
고분자재료실험,문두경," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공C_B181,화,13-19
무기화학,문두경," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",신공B106,화,04-06
무기화학,문두경," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",신공B106,목,01-03
물리화학2,이위형," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공B455,화,01-03
물리화학2,이위형," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공B455,목,04-06
물리화학2,민요셉," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공D232,월,10-12
물리화학2,민요셉," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공D232,수,07-09
반응공학,이승애," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공D233,월,07-09
반응공학,이승애," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공D233,수,10-12
반응공학,이승애," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공D233,월,10-12
반응공학,이승애," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공D233,수,07-09
반응공학,"주지봉, 강성구"," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공D232,월,13-15
반응공학,"주지봉, 강성구"," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공D232,수,16-18
반응공학,"주지봉, 강성구"," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공D232,월,16-18
반응공학,"주지봉, 강성구"," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공D232,수,13-15
유기화학2,이정걸," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공D233,화,16-18
유기화학2,이정걸," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공D233,목,16-18
유기화학2,유영태," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공D231,월,01-03
유기화학2,유영태," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공D231,수,04-06
유기화학2,고준석," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공D232,월,01-03
유기화학2,고준석," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공D232,수,04-06
유기화학실험,고준석," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",신공716,화,13-19
공정제어,박기태," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공D231,화,01-03
공정제어,박기태," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공B156,목,04-06
공정제어,박기태," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공D231,화,04-06
공정제어,박기태," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공B156,목,01-03
석유화학공학,홍순혁," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공D231,화,13-18
화공열역학1,박정태," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공D232,화,07-09
화공열역학1,박정태," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공D232,목,10-12
화공열역학1,박정태," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공D232,화,10-12
화공열역학1,박정태," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공D232,목,07-09
화공열역학1,임성기," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공D233,화,10-12
화공열역학1,임성기," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공D233,목,07-09
화공유체역학,유용호," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공A204,수,07-12
화공유체역학,유용호," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공A204,목,10-15
화공유체역학,이위형," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공B555,화,07-09
화공유체역학,이위형," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공B555,목,10-12
화공유체역학,이위형," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공B555,월,13-15
화공유체역학,이위형," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공B555,수,13-15
화공기초설계,이위형," 융합신소재공, 화학공, 유기나노시스템공, 화학공학부",공B555,수,09-12
